№,Title,City,Year of founding,Status,Accreditation,Ending document,Educational form,Qualification levels,Adress,Telephone,Website
1,Одесский технологический университет ШАГ,"
Одесса",2018,частный,IV,"Дипломгосударственногообразца,сертификатыкомпаний-партнеров","
дневная,заочная","
бакалавр
","
ул.Садовая,3,г.Одесса,65014","
(048)728-66-60

",otu.itstep.org
2,Государственный университет интеллектуальных технологий и связи,"
Одесса",2020,государственный,IV,дипломгос.образца,"
дневная,заочная,дистанционная","
бакалавр,магистр
","
ул.Кузнечная,1,г.Одесса,65029","
(048)705-04-13,(048)705-04-11

",university.onat.edu.ua
3,Одесский институт Межрегиональной Академии управления персоналом,"
Одесса",1998,частный,IV,дипломгос.образца,"
дневная,заочная,дистанционная","
бакалавр,магистр
","
ул.Черноморскогоказачества,19,г.Одесса","
(048)723-23-21,(048)700-83-06

",odessa.maup.com.ua
4,Государственное учреждение «Южноукраинский национальный педагогический университет имени К. Д. Ушинского»,"
Одесса",1817,государственный,IV,дипломгос.образца,"
дневная,заочная,вечерняя","
бакалавр,магистр
","
ул.Старопортофранковская,26,г.Одесса,65020","
(048)723-40-98

",pdpu.edu.ua
5,Институт Военно-Морских Сил Национального университета «Одесская Морская Академия»,"
Одесса",2014,государственный,IV,Дипломгосударственногообразца,"
дневная,заочная","
бакалавр,магистр
","
ул.Дидрихсона,8,г.Одесса,65029","
(050)686-37-27

",fvms.onma.edu.ua
6,Международный гуманитарный университет,"
Одесса",2002,частный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,специалист,магистр
","
ул.Фонтанскаядорога,33,г.Одесса,65009","
(048)719-88-38

",mgu.edu.ua
7,"Национальный университет ""Одесская морская академия""","
Одесса",1944,государственный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,магистр
","
ул.Дидрихсона,8,г.Одесса,65029","
(048)793-16-72

",www.onma.edu.ua
8,Национальный университет «Одесская юридическая академия»,"
Одесса",1997,государственный,IV,дипломгос.образца,"
дневная,заочная,вечерняя","
бакалавр,специалист,магистр
","
ул.Академическая,2,г.Одесса,65009","
(048)719-88-01

",onua.edu.ua
9,Одесcкая национальная музыкальная академия имени А. В. Неждановой (ОНМА),"
Одесса",1913,государственный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,магистр
","
ул.Новосельского,63,г.Одесса,65023","
(048)726-78-76

",odma.edu.ua
10,Одесская государственная академия строительства и архитектуры (ОГАСА),"
Одесса",1930,государственный,IV,"Дипломбакалавра,магистрагосударственногообразца","
дневная,заочная","
бакалавр,магистр
","
ул.Дидрихсона,4,г.Одесса,65029","
(048)723-33-42,(048)732-43-01

",odaba.edu.ua
11,Одесская государственная академия технического регулирования и качества,"
Одесса",1945,государственный,III,дипломгос.образца,"
дневная,заочная","
бакалавр,специалист,магистр
","
ул.Кузнечная,15,г.Одесса","
(048)726-68-92,(048)726-76-95

",osatrq.edu.ua
12,Одесская национальная академия пищевых технологий (ОНАПТ),"
Одесса",1902,государственный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,специалист,магистр
","
ул.Канатная,112,г.Одесса,65039","
(048)725-32-84,(048)712-41-40

",onaft.od.ua
13,Одесский государственный аграрный университет (ОГАУ),"
Одесса",1918,государственный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,специалист,магистр,младшийбакалавр
","
ул.Пантелеймоновская,13,г.Одесса,65012","
(048)784-57-32

",osau.edu.ua
14,Одесский государственный университет внутренних дел (ОГУВД),"
Одесса",1922,государственный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,магистр
","
ул.Успенская,1,г.Одесса,65014","
(048)795-50-09

",oduvs.edu.ua
15,Одесский государственный экологический университет (ОГЭКУ),"
Одесса",1932,государственный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,специалист,магистр
","
ул.Львовская,15,г.Одесса,65016","
(048)232-67-52

",odeku.edu.ua
16,Одесский национальный медицинский университет (ОНМедУ),"
Одесса",1900,государственный,IV,дипломгос.образца,"
дневная,заочная","
специалист,магистр,младшийбакалавр
","
пер.Валиховский,2,г.Одесса,65082","
(048)723-42-49,(048)723-22-15

",onmedu.edu.ua
17,Одесский национальный морской университет,"
Одесса",1930,государственный,IV,дипломгос.образца,"
дневная,заочная,дистанционная","
бакалавр,магистр
","
ул.Мечникова,34,г.Одесса,65029","
(048)732-23-05,(063)162-37-52

",onmu.odessa.ua/ua
18,Одесский национальный университет имени И.И. Мечникова (ОНУ),"
Одесса",1865,государственный,IV,дипломгос.образца,"
дневная,заочная","
бакалавр,специалист,магистр
","
ул.Дворянская,2,г.Одесса,65026","
(048)723-52-54

",www.onu.edu.ua
19,Одесский национальный экономический университет (ОНЭУ),"
Одесса",1921,государственный,IV,дипломгос.образца,"
дневная,заочная,вечерняя","
бакалавр,магистр
","
ул.Преображенская,8,г.Одесса,65082","
(048)723-80-73

",oneu.edu.ua
20,Одесский региональный институт государственного управления Национальной академии государственного управления при Президенте Украины (ОРИГУ),"
Одесса",1995,государственный,IV,"
дневная,заочная,дистанционная,вечерняя","
бакалавр,магистр
","
ул.Генуэзская,22,г.Одесса,65009","
(048)705-97-05,(048)705-97-00

","
(048)705-97-12,(048)705-97-13,(048)705-97-11,(063)122-99-97

",oridu.odessa.ua
